,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Lambda kF (MeV),Sigma_0 kF (MeV),Neutron frac,Proton frac,electron frac,Lambda frac,Sigma_0 frac
378,4.05000000,56.43286809,-17.53869867,62.62251220,-4.24888923,449.13535907,264.64584481,264.64584481,316.95242516,0.00000000,0.64266543,0.13147659,0.13147659,0.22585798,0.00000000
379,4.06000000,56.50105486,-17.54770980,62.75130735,-4.28090489,449.25528953,264.81503266,264.81503266,317.74651983,0.00000000,0.64159620,0.13140446,0.13140446,0.22699934,0.00000000
380,4.07000000,56.56911515,-17.55668202,62.88005577,-4.31295949,449.37478323,264.98369142,264.98369142,318.53762371,0.00000000,0.64053064,0.13133221,0.13133221,0.22813715,0.00000000
381,4.08000000,56.63704939,-17.56561558,63.00875771,-4.34505284,449.49384289,265.15182397,265.15182397,319.32576663,0.00000000,0.63946871,0.13125985,0.13125985,0.22927143,0.00000000
382,4.09000000,56.70485801,-17.57451074,63.13741339,-4.37718474,449.61247121,265.31943316,265.31943316,320.11097796,0.00000000,0.63841041,0.13118739,0.13118739,0.23040220,0.00000000
383,4.10000000,56.77254141,-17.58336774,63.26602303,-4.40935500,449.73067085,265.48652182,265.48652182,320.89328657,0.00000000,0.63735572,0.13111482,0.13111482,0.23152946,0.00000000
384,4.11000000,56.84010002,-17.59218682,63.39458686,-4.44156344,449.84844445,265.65309274,265.65309274,321.67272088,0.00000000,0.63630461,0.13104216,0.13104216,0.23265324,0.00000000
385,4.12000000,56.90753425,-17.60096822,63.52310510,-4.47380987,449.96579461,265.81914868,265.81914868,322.44930888,0.00000000,0.63525707,0.13096939,0.13096939,0.23377354,0.00000000
386,4.13000000,56.97484452,-17.60971218,63.65157798,-4.50609410,450.08272392,265.98469239,265.98469239,323.22307810,0.00000000,0.63421309,0.13089652,0.13089652,0.23489039,0.00000000
387,4.14000000,57.04203122,-17.61841894,63.78000571,-4.53841597,450.19923492,266.14972657,266.14972657,323.99405566,0.00000000,0.63317264,0.13082356,0.13082356,0.23600381,0.00000000
388,4.15000000,57.10909478,-17.62708871,63.90838850,-4.57077528,450.31533013,266.31425390,266.31425390,324.76226823,0.00000000,0.63213570,0.13075050,0.13075050,0.23711380,0.00000000
